phone_whatsapp,wa_verified,school_name,city,country,segment,lpr_name,lpr_instagram,school_instagram,website,lpr_status,hook,source_url,source,branches,google_rating,google_reviews,ig_followers,runs_ads,scale_score,tier,extra_phones
+77758849681,true,Step to English,Астана,KZ,ielts,Константин,,@steptoenglish,https://steptoenglish.kz,B,"10 школ в Казахстане и Праге, 15 000+ выпускников",https://steptoenglish.kz/,wa_link,10,,,,yes,7,whale,+77787757741;+77759060909
+77077650000,true,MIA Education,Семей,KZ,ielts,Махамбет Толегенулы,,@mia_education,https://miaeducation.kz,B,"5358 выпускников с 2019 года, партнёр British Council и IDP",https://miaeducation.kz/,wa_link,19,,,19000,yes,7,whale,
+77784484507,true,Destination,Уральск,KZ,ielts,Роман Лушаков,,@destination_kz,https://destination.kz,B,"10 филиалов в Уральске, 21 тыс подписчиков Instagram",https://yandex.kz/maps/org/yazykovaya_shkola_destination/36724036977/,wa_link,10,5.0,166,21000,yes,7,whale,+77009351797;+77075450404;+77784484501
+77002029312,false,Ustudy,Актау,KZ,ent,Бекешов Мирбек Балтабекович,,@ustudy.kz,https://ustudy.kz,B,"сеть ЕНТ-центров в 4 городах, партнёр НЦТ, 66k IG",https://aktau.spravker.ru/uchebnyie-tsentryi/,catalog,4,,,66000,yes,7,whale,
+77081714970,true,AIPLUS,Алматы,KZ,ent,Айбек Нурланулы и Айтолкын Калдыораз,,@aiplus.kz,https://aiplus.kz,B,"180K подписчиков Instagram, 6 филиалов, 614 грантников в 2023",https://mektep.aiplus.kz/?utm_source=aiplus.kz_seo,wa_link,6,,,180000,yes,7,whale,+77021725229;+77077053366;+77004982672
+77081786220,true,Tesla Education,Астана,KZ,ent,Айдос Сексеналы,,@tesla.education,https://teslaeducation.kz,B,"122 тыс. подписчиков, филиалы в Астане и Алматы",https://teslaeducation.kz/,wa_link,6,,,122000,yes,7,whale,+77077713113
+77770837971,false,Ustudy,Караганда,KZ,ent,Жанат Рахмани,,@ustudy.kz,https://ustudy.kz,B,"сеть центров тестирования с 2009 года, официальный партнёр НЦТ",https://karaganda.spravker.ru/dopolnitelnoe-obrazovanie/ustudy-1.htm,catalog,3,,,66000,yes,7,whale,
+77077053366,true,AIPLUS,Шымкент,KZ,ent,Айбек Нұрланұлы,,@aiplus.kz,https://aiplus.kz,B,"180 тыс. подписчиков Instagram, 3 филиала в Астане",https://school.aiplus.kz/kz/ent.php,wa_link,3,,,180000,yes,7,whale,+77007870264;+77081714970;+77008368433
+77779500022,true,UChina,Алматы,KZ,abroad,,,@uchina.kz,https://uchina.kz,C,"филиалы в 5 странах, 3000+ студентов в Китае",https://uchina.kz/uchina,wa_link,6,,,44000,yes,7,whale,+77779500007;+77779500016;+77020594380;+77020594376
+77072923030,false,NCF,Астана,KZ,abroad,,,@ncf.kz,https://ncf.education,C,"Филиалы в Алматы и Астане, партнёр центра TOEFL",https://ncf.education/astana,tel_link,2,,,80000,yes,7,whale,
+77780420444,true,InterPress IH Karaganda,Караганда,KZ,abroad,,,@interpress_ih_karaganda,https://ihkaraganda.kz,C,"2 филиала, аккредитованный центр IDP IELTS, на рынке с 2009",https://ihkaraganda.kz/,wa_link,2,,,14000,yes,7,whale,+77780504950;+77212504950;+77212504949;+77000504950
+77008022606,true,Just Speak It,Алматы,KZ,ielts,,,@just_speak_it,https://jsi.kz,C,8 филиалов в Алматы и 117 тыс подписчиков Instagram,https://jsi.kz/,wa_link,8,,,117000,yes,7,whale,+77005002606;+77004002606
+77073901201,false,Level UP Education,Алматы,KZ,ielts,,,@levelup.kz,https://level-up.kz,C,сеть из 3 школ в Алматы с 2009 года,https://level-up.kz/,tel_link,3,,,44000,yes,7,whale,+77273901201
+77003650020,true,Study Link,Алматы,KZ,ielts,,,@studylink.kz,https://studylink.kz,C,"30 школ в 11 городах, 29 лет на рынке",https://studylink.kz/,wa_link,30,,,2696,yes,7,whale,+77003650000;+77003650050;+77004650000;+77004650010;+77004650005;+77004680000;+77004690000
+77021941204,true,Study Link,Атырау,KZ,ielts,,,@studylink.atyrau,https://studylink.kz,C,"19 филиалов по Казахстану, работают с 1997 года",https://studylink.kz/atyrau,wa_link,19,,,16000,yes,7,whale,+77071941204;+77017709147
+77780145932,false,Language Link Атырау,Атырау,KZ,ielts,,,@languagelink_atyrau,https://www.languagelink.ru/centers/kazakhstan/atirau/,C,"международная сеть с 1975 года, 17 тыс. подписчиков в Instagram",https://www.languagelink.ru/centers/kazakhstan/atirau/,tel_link,,,,17000,yes,7,whale,+77028672193
+996998982889,true,Maximum English School,Бишкек,KG,ielts,,,@maximum_english_school_,https://maximumenglish.kg,C,"35 тыс подписчиков Instagram, лицензия МОиН КР",https://maximumenglish.kg/ru/,wa_link,,,,35000,yes,7,whale,+996556982889
+996778899816,true,British Study Community (BSC),Бишкек,KG,ielts,,,@bsc.kyrgyzstan,https://british-study.kg,C,"британская сеть школ, представительство в Бишкеке с 2018",https://british-study.kg/,wa_link,,,,124000,yes,7,whale,+996312663794
+77073649201,true,IDP IELTS Kazakhstan,Кызылорда,KZ,ielts,,,@idp.ielts.kazakhstan,https://ielts.kz,C,"IELTS-центры IDP в 7 городах, тестирование теперь и в Кызылорде",https://ielts.kz/novosti_1/privetstvuem-vseh-zhitelej-kyzylordy/,wa_link,7,,,73000,yes,7,whale,+77768631667;+77082231489
+77006010202,true,Study Link,Шымкент,KZ,ielts,,,@studylink_shym,https://studylink-shym.kz,C,"19 филиалов по Казахстану, на рынке с 1997 года",https://studylink-shym.kz/,wa_link,19,,,18000,yes,7,whale,+77003650000
+77086689143,true,IDP IELTS Kazakhstan,Шымкент,KZ,ielts,,,@idp.ielts.kazakhstan,https://ielts.kz,C,"экзаменационные центры IDP в 6 городах, 60000+ кандидатов",https://ielts.kz/contacts/,wa_link,6,,,73000,yes,7,whale,+77073649201;+77003276001
+77085121414,false,Aiplus,Актобе,KZ,ent,,,@aiplus.kz,https://aiplus.kz,C,"Сеть в 4 городах, отдельный номер в Актобе",https://mektep.aiplus.kz/?utm_source=aiplus.kz_seo,site_text,4,,,180000,yes,7,whale,
+77010825307,false,M&K,Алматы,KZ,abroad,Айгуль Калдыбаева,,@mkstudy.kz,http://mks.kz,B,"экзаменационный центр ETS и Pearson VUE, офисы в Алматы и Астане",http://mks.kz/,site_text,2,,,22000,yes,6,whale,+77014284886
+77076104040,true,Ivy Course,Астана,KZ,abroad,Гульмира Айдархановна Булкенеева,,@ivyleague_edu,https://ivycourse.kz,B,"Офисы в Алматы и Астане, 10 000+ студентов",https://ivycourse.kz/ru/welcome,wa_link,2,,,,yes,6,whale,
+77014284886,false,M&K,Астана,KZ,abroad,Айгуль Калдыбаева,,@mkstudy.kz,http://mks.kz,B,"Экзаменационный центр ETS с 2007 года, офисы в двух городах",http://mks.kz/,site_text,2,,,22000,yes,6,whale,+77010825307
+77054473644,true,INTELLECT (физико-математический центр),Астана,KZ,abroad,Ильяс Кайпбаев,,@fiz_mat_intellect,https://pmci.kz,B,"с 2009 года, 93% выпускников поступают на грант",https://pmci.kz/,wa_link,2,,,,yes,6,whale,
+996554900883,true,Kyrgyz Concept,Ош,KG,abroad,Эмиль Уметалиев,,@kyrgyzconcept,https://concept.kg,B,"36 лет на рынке, офисы в Бишкеке, Оше, Алматы",https://concept.kg/contacts/,wa_link,6,,,20000,yes,6,whale,+996701900883;+996777900883;+996557900883;+996312900883;+996553900885
+77053578428,false,Лидер плюс,Павлодар,KZ,ent,Айгуль Омарова,,@lider_plus_kz,https://liderplus.kz,B,"6 филиалов в 3 городах, 120 сотрудников",https://pavlodar.jsprav.ru/kursyi-ekstremalnogo-vozhdeniya/lider-plius-3/,site_text,6,,,11000,no,6,whale,+77477570155;+77751291928
+77471335788,true,Chinaland,Астана,KZ,abroad,,,@chinaland.kz,https://chinaland.kz,C,С 2014 г. 2000+ студентов на гранты в вузы Китая,https://chinaland.kz/,wa_link,2,,,8475,yes,6,whale,+77471335783;+77471335784;+77471335789
+77122213911,false,Students International,Атырау,KZ,abroad,,,,https://studinter.ru,C,"46 офисов включая Атырау, на рынке с 1992 года",https://studinter.ru/offices.html,tel_link,46,,,,yes,6,whale,+77785860903;+77015306306
+77073072434,true,Lingvoland,Караганда,KZ,abroad,,,@lingvoland,https://lingvoland.kz,C,"17 тыс подписчиков, 4500+ выпускников с 2009 года",https://lingvoland.kz/,wa_link,2,,,17000,yes,6,whale,
+77052117960,true,Study Link,Актау,KZ,ielts,,,@studylink.aktau,https://studylink.kz,C,"22 филиала по Казахстану, на рынке с 1997 года",https://studylink.kz/aktau,wa_link,22,,,,yes,6,whale,+77006010202
+77751389840,true,maklein,Астана,KZ,ielts,,,@maklein.kz,https://maklein.kz,C,"3 филиала в Астане, 7000+ студентов с 2016",https://maklein.kz/,wa_link,3,,,24000,yes,6,whale,+77752503511;+77002573439
+77005079015,true,Scholarships,Караганда,KZ,ielts,,,@scholarships.kz,https://scholarships.kz,C,3 школы в Караганде и собственная онлайн-платформа,https://scholarships.kz/,wa_link,3,,,,yes,6,whale,+77010041404;+77085079007;+77765079000;+77750309315
+77472296081,true,BeBest,Караганда,KZ,ielts,,,@be_best_school,https://bebestschool.kz,C,,https://bebestschool.kz/karaganda,wa_link,,,,,yes,6,whale,+77479150579;+77085003756
+77072502540,true,Study Link,Кызылорда,KZ,ielts,,,@studylink.kyzylorda,https://studylink.kz/kyzylorda,C,Сеть Study Link: обучение в 11 городах Казахстана,https://studylink.kz/kyzylorda,wa_link,11,,,14000,yes,6,whale,+77002062540;+77757902593;+77767892020;+77017709147
+77768351010,true,BEST,Усть-Каменогорск,KZ,ielts,,,@best1_ukg,https://best-ukg.kz,C,"8 филиалов, единственный авторизованный центр TOEFL и IELTS British Council",https://best-ukg.kz/,wa_link,8,,,,yes,6,whale,+77779962255
+77066120898,false,SIGMA,Алматы,KZ,ent,,,@sigmacenter.kz,https://sigmacenter.kz,C,"3 филиала в Алматы, работает с 2016 года",https://sigmacenter.kz/,tel_link,3,,,11000,yes,6,whale,+77071994703;+77066230219
+996700220044,true,Секом,Бишкек,KG,ent,,,@secom_kg,https://secom.kg,C,48k подписчиков в Instagram,https://secom.kg/,wa_link,,,,48000,yes,6,whale,+996220220044;+996550220044;+996221218603;+996559646002;+996778440022;+996508440022;+996707250066;+996559392218;+996706056156;+996776056156;+996507661177;+996776661177;+996700267365;+996700268181;+996776243624;+996706386635;+996550386635;+996708661199;+996778661199;+996709772681;+996755122136;+996222087144;+996706087144
+77055353553,true,"Академия ШАГ (IT Step, Малая компьютерная академия)",Астана,KZ,other,,,@itstep.astana,https://astana.itstep.org,C,"IT-образование для детей и взрослых с 1999 года, лицензированные программы",https://astana.itstep.org/contacts,wa_link,,,,,yes,6,whale,+77719365066;+77719365367;+77719499100
+996502113331,true,IT Step Academy Бишкек,Бишкек,KG,other,,,@itstep.bishkek,https://bishkek.itstep.org,C,"лицензия, 27 лет на рынке",https://bishkek.itstep.org/ru,wa_link,,,,,yes,6,whale,+996995113331;+996505113331;+996773810784
+77007187878,false,MentorMe,Алматы,KZ,abroad,Руслан Жексебайулы,@ruslan_jeksebai_uly,@mentorme_kz,https://mentorme.kz,A,"1000+ студентов в топ-вузах мира, партнёр ICEF",https://mentorme.kz/,tel_link,,,,,yes,5,whale,
+77009986193,true,Study IN,Алматы,KZ,abroad,Элина Марат,@elina.marat,@studyin_kz,http://study-in.kz,A,"2000+ студентов, 25 стран, 3 международные аккредитации",http://study-in.kz/,wa_link,,,,23000,yes,5,whale,+77475014240;+77074505193;+77007134879;+77471600950;+77006670959
+77014101505,true,Globus Education,Алматы,KZ,abroad,Даулет Асильбеков,,@globusedu,https://globusedu.kz,B,"с 1995 года, офисы Алматы/Астана/Павлодар, 140+ вузов в 14 странах",https://globusedu.kz/,wa_link,3,,,,yes,5,whale,+77017332423;+77073220002;+77075275818
+77470955415,true,Be Global Study Abroad,Алматы,KZ,abroad,Акмарал Сапанова,,@beglobal.kz,https://beglobal.kz,B,"более 10 лет на рынке, офисы Алматы и Астана; США/UK/Канада/ОАЭ/Австралия",https://beglobal.kz/,wa_link,2,,,5304,yes,5,whale,+77470955408;+77470955409
+77761115711,true,InterStudent,Астана,KZ,abroad,Гульден Мукатаева,,@interstudent.kz,https://interstudent.kz,B,"С 2008 года, 600+ университетов-партнёров, аккредитация ICEF",https://interstudent.kz/,wa_link,,,,16000,yes,5,whale,+77004653000;+77172313145
+77073220002,false,Globus Education,Астана,KZ,abroad,Даулет Асильбеков,,@globusedu,https://globusedu.kz,B,"Ежегодно ~250 студентов за рубеж, соучредитель ассоциации KAEA",https://globusedu.kz/kontakty/,tel_link,3,,,,yes,5,whale,+77014101505;+77017332423;+77075275818
+77078700300,true,Talent,Алматы,KZ,ielts,Елена Дружинина,,@talentcentre,https://talent.kz,B,"3 филиала, 50+ педагогов, более 10 000 выпускников",https://talent.kz/,wa_link,3,,,3431,yes,5,whale,+77027030707;+77077153900;+77076153900
+77077034041,true,English Club,Астана,KZ,ielts,Виктория Соболь,,@englishclub_astana,https://www.english-club.kz,B,3 филиала в Астане и собственная онлайн-платформа,https://www.english-club.kz/,wa_link,3,,,,no,5,whale,+77172395042;+77172386656;+77172201599;+77472401376;+77712829535
+77172466246,false,ELC,Астана,KZ,ielts,Шынгыс Асаинов,,,https://elca.kz,B,"31 968 выпускников, 12 лет, филиалы в Астане и Алматы",https://elca.kz/contacts.html,site_text,4,,,,yes,5,whale,+77172456256
+77476458139,false,Zerdeli Education,Шымкент,KZ,ielts,Тастанбеков Нургали Акимбаевич,,@zerdeli.shymkent,https://zerdeli.app,B,"5 филиалов, 50 000+ родителей выбрали центр",https://www.chastnye-shkoly.kz/chastnaya-shkola/zerdelishym,catalog,5,,,12000,no,5,whale,
+77079409066,true,Талан,Астана,KZ,ent,Адиль Айдарович,,@talan.edu.kz,https://ent-talan-edu.kz,B,"2 филиала в Астане, 10+ лет, 1000+ выпускников",https://ent-talan-edu.kz/,wa_link,2,,,29000,yes,5,whale,+77079409044;+77079409077;+77079409088;+77079409011
+77142914686,false,NotaBene,Костанай,KZ,ent,Александр Смирнов,,@notabene.kz,https://notabene.courses,B,"филиалы в 3 городах, 2600+ учеников только по математике",https://notabene.courses/kostanay/,tel_link,3,,,,yes,5,whale,+77071103535;+77075758595
+77152614514,false,NotaBene,Петропавловск,KZ,ent,Александр Смирнов,,@notabene.kz,https://notabene.courses,B,"Сеть ЕНТ/ЕГЭ в 3 городах, свой LMS, с 2015 года",https://notabene.courses/petropavlovsk/,tel_link,3,,,,yes,5,whale,+77071103535;+77075758595
+77476007813,true,A Level,Алматы,KZ,abroad,,,,https://alevel.kz,C,"1000+ выпускников ежегодно, кампусы в Алматы и Астане",https://alevel.kz/,wa_link,2,,,,yes,5,whale,+77073575790;+77073137413
+77006270010,false,Global Students,Алматы,KZ,abroad,,,@globalstudents.kz,https://globalstudents.kz,C,"филиалы в Алматы, Астане и Измире; обучение в Турции и Чехии",https://globalstudents.kz/,tel_link,3,,,,yes,5,whale,
+996771912109,true,Корейский институт в Центральной Азии,Бишкек,KG,abroad,,,@kkc_kica,https://kica.kg,C,"2 филиала в Бишкеке, партнёр 20+ вузов Кореи",https://kica.kg/,wa_link,2,,,,no,5,whale,+996770555412;+996312381744;+996312381753
+77076621703,true,Opportunity,Актау,KZ,ielts,,,@english.aktau.opportunity,https://englishinaktau.kz,C,"самая крупная сеть языковых школ Мангыстау, 3 филиала",https://englishinaktau.kz/,wa_link,3,,,,yes,5,whale,+77077203421;+77076058890;+77054741818;+77475167110
+77078457383,true,English House,Актобе,KZ,ielts,,,@english_house_kz,https://e24.kz,C,"школа с 2010 года, онлайн-филиалы по городам РК",https://e24.kz/aktobe,wa_link,9,,,6247,no,5,whale,+77018457383
+77074454991,true,A&F Education,Алматы,KZ,ielts,,,@af.education,https://a-f.kz,C,"3 филиала в Алматы, на рынке с 1992 года",https://a-f.kz/,wa_link,3,,,12000,no,5,whale,+77772688076;+77774071424;+77715725540
+77001120162,false,Chels (Language Partners),Алматы,KZ,ielts,,,@chels.kz,https://chels.kz,C,"два офиса в Алматы, обучили 20 компаний с 2007 года",https://chels.kz/,tel_link,2,,,,yes,5,whale,+77075683698;+77273296173
+77474236912,false,Telc,Алматы,KZ,ielts,,,@telckz,https://telc.kz,C,"филиалы в Алматы и Астане, своя онлайн-платформа",https://telc.kz/,tel_link,2,,,28000,yes,5,whale,+77712764353;+77005005420
+996700890405,true,International Language House (ILH),Бишкек,KG,ielts,,,@ilhsuper,http://english.on.kg,C,"Лицензированный языковой центр, 10+ лет на рынке",http://english.on.kg/,wa_link,,,,,yes,5,whale,+996500890405;+996555890405;+996701890405
+77076236243,true,New York English School,Караганда,KZ,ielts,,,@english_new_york,https://n-y.kz,C,"5 филиалов в Караганде, представитель British Council",https://n-y.kz/,wa_link,5,,,,yes,5,whale,
+77076343767,true,Эрудит,Алматы,KZ,ent,,,@erudit.kz,https://erudit.kz,C,"многопрофильный центр с 2016 года, 5 WhatsApp-линий",https://erudit.kz/,wa_link,3,,,11000,yes,5,whale,+77477777515;+77066230218;+77066230219;+77066120898
+77273454005,false,NotaBene,Алматы,KZ,ent,,,@notabene.kz,https://notabene.courses,C,11 лет на рынке,https://notabene.courses/,tel_link,,,,,yes,5,whale,+77071103535;+77075758595
+77051929912,true,Eco-Service,Алматы,KZ,ent,,,@ecoservice.kz,https://eco-service.kz,C,,https://eco-service.kz/podgotovka-k-ent/,wa_link,,,,,yes,5,whale,+77079079454
+77054081438,false,EasyENT,Астана,KZ,ent,,,@easyent_,https://easyent.kz,C,46 тыс. подписчиков IG и ~2000 выпускников-грантников,https://easyent.kz/,site_text,,,,46000,yes,5,whale,+77015240292
+996500493000,true,Домашка Help,Бишкек,KG,ent,,,@domashkahelp,https://domashka.edu.kg,C,31k подписчиков в Instagram,https://domashka.edu.kg/,wa_link,,,,31000,yes,5,whale,+996555791100;+996704493000;+996775443000;+996554493000;+996550493000
+996990977780,true,Highlight,Бишкек,KG,ent,,,@highlight.kg,https://highlight.kg,C,"109k подписчиков в Instagram, ОсОО",https://highlight.kg/ru,wa_link,,,,109000,no,5,whale,+996550161206
+77003081616,true,Dostyq (Достық),Уральск,KZ,ent,,,@dostyq.oral,https://dostyq-bilim.kz,C,"21 центр в 15 городах, 100 000+ учеников",https://dostyq.online/ru,wa_link,21,,,,yes,5,whale,+77074221919
+77755227733,false,Advance,Алматы,KZ,other,,,,https://advancecenter.kz,C,"сеть центров интеллектуального развития (с 2014), 3500+ учеников, 11000+ выпускников",https://advancecenter.kz/,site_text,,,,,yes,5,whale,+77055227733;+77717091050;+77076856881;+77080252323;+77772252277
+77767048888,true,KIBERone (IT-школа программирования для детей),Астана,KZ,other,,,@astana.kiber.one,https://ru.kiber-one.kz,C,"международная IT-школа, 4 филиала в Астане, аккредитация Microsoft",https://ru.kiber-one.kz/,wa_link,4,,,,yes,5,whale,
+77075061539,false,IQ007 (школа скорочтения и развития интеллекта),Астана,KZ,other,,,,https://iq007.ru/citylist/astana,C,"сеть школ скорочтения/каллиграфии/интеллекта (680 филиалов, лицензия), филиалы в Астане",https://iq007.ru/citylist/astana,tel_link,,,,,yes,5,whale,+77780411007
+996559445555,true,Алгоритмика Бишкек,Бишкек,KG,other,,,@algoritmika.bishkek,https://bishkek.algoritmika.org,C,лицензия,https://bishkek.algoritmika.org/ru,wa_link,,,,,no,5,whale,
+77719902809,false,Advance (центр интеллектуального развития),Караганда,KZ,other,,,,https://advancecenter.kz,C,,https://advancecenter.kz/contacts.html,site_text,,,,,yes,5,whale,+77212974533
+77775555995,true,Академия ШАГ (IT STEP) Караганда,Караганда,KZ,other,,,@itstep.karaganda,https://karaganda.itstep.org,C,,https://karaganda.itstep.org/contacts,wa_link,,,,,yes,5,whale,+77775555605
+77076186118,false,IQ007,Уральск,KZ,other,,,@iq007uralsk_aksay,https://iq007.ru,C,"школа скорочтения, каллиграфии и развития интеллекта IQ007, филиал в Уральске",https://iq007.ru/citylist/uralsk,tel_link,,,,,yes,5,whale,+77771843553
+77775225372,false,IT Step Academy,Уральск,KZ,other,,,@itstep.uralsk,https://uralsk.itstep.org,C,27 лет на рынке,https://uralsk.itstep.org/ru,tel_link,,,,,yes,5,whale,
+77022470000,false,Coddy,Шымкент,KZ,other,,,,https://shymkent.coddyschool.com,C,,https://kursy-shymkent.kz/course/childs/programming-kids,catalog,,,,,no,5,whale,
+77772146385,true,A&T Smart Study,Алматы,KZ,abroad,Толкын Абильдаева,,@at_smart_study,https://atsmartstudy.com,B,"аккредитация ICEF, на конференциях ICEF с 2015 года",https://atsmartstudy.com/,wa_link,,,,,yes,4,whale,+77273546887
+77773522124,true,Get Education,Алматы,KZ,abroad,Дилором Досбаева,,@get.education,https://get-edu.kz,B,"15+ лет опыта сотрудников, ICEF, подготовка к Cambridge CELA",https://get-edu.kz/,wa_link,,,,,yes,4,whale,+77072445840;+77012249927;+77478549246;+77272445840
+77471335789,true,Chinaland,Алматы,KZ,abroad,Мусин Расул,,@chinaland.kz,https://chinaland.kz,B,2000+ студентов получили грант в Китай с 2014,https://chinaland.kz/,wa_link,,,,8475,yes,4,whale,+77471335788;+77471335783;+77471335784
+77001206301,true,Foundation2U,Астана,KZ,abroad,Бейсембетов И.К.,,,https://foundation2u.com,B,"Гослицензия МНВО РК, программа на базе Esil University",https://foundation2u.com/,wa_link,2,,,,no,4,whale,
+77719499898,false,Gaudeamus,Уральск,KZ,abroad,Антипова Фарида Якубовна,,@gaudeamus_world,https://gaudeamus.kz,B,"образовательный холдинг с 2008 года: Уральск, Атырау, Актау",https://gaudeamus.kz/contact/,site_text,3,,,,no,4,whale,
+77007721930,true,Truston Education,Астана,KZ,ielts,Ержан Жумамбаев,,@truston_edu,https://edu.truston.kz,B,"офисы в Астане и Алматы, активный рекламный лендинг",https://edu.truston.kz/anliiskii-v-astane,wa_link,2,,,,yes,4,whale,+77470940932;+77470940939;+77470940935
+77010834777,false,ZIYATKER,Шымкент,KZ,ielts,Олжас Биданов,,@ziyatker.mektebi,,B,"8 филиалов, 169 грантов НИШ у учеников",https://www.chastnye-shkoly.kz/chastnaya-shkola/ziyatkermektebi,catalog,8,4.9,,21000,no,4,whale,
+77081118444,true,UNIDEM,Алматы,KZ,ent,Роман Карякин,,@unidem_kz,https://unidem.kz,B,2 филиала и 11K подписчиков в Instagram,https://unidem.kz/,wa_link,2,,,11000,yes,4,whale,+77071017222;+77071014222
+77782580717,true,Daryn.online,Шымкент,KZ,ent,Айбек Куатбаев,,@daryn.online.ubt,https://daryn.online,B,онлайн-платформа ҰБТ плюс 2 центра в Шымкенте,https://daryn.online/,wa_link,3,,,9166,yes,4,whale,+77066660717
+77073405868,false,Education Industry,Актобе,KZ,abroad,,,@education.industry,https://www.educationindustry.net,C,сеть из 5 филиалов,https://www.educationindustry.net/,site_text,5,,,,no,4,whale,+77072632022;+77072652024;+77072632033;+77472632022;+77072652022;+77772632022;+77023528200
+77079090755,false,Logos,Алматы,KZ,abroad,,,@logosgroup.kz,https://logosgroup.kz,C,"на рынке с 2008, своя языковая школа плюс агентство",https://logosgroup.kz/,tel_link,,,,,yes,4,whale,+77021683290;+77272662311
+77009586473,true,Excourse,Алматы,KZ,abroad,,,@excourse.kz,https://excourse.kz,C,"Первый онлайн-сервис по поступлению в зарубежные вузы, +200 студентов, онлайн-платформа Excourse",https://excourse.kz/,wa_link,,,,,yes,4,whale,+77022393850;+77004881636
+77079515191,false,USL Kazakhstan,Алматы,KZ,abroad,,,@uslkz,https://usl.kz,C,"с 2002 года, аккредитовано ICEF; Швейцария/США/Канада/Германия/Нидерланды",https://usl.kz/,tel_link,,,,,yes,4,whale,+77272720102;+77272728917;+77056222218;+77013851306
+77029693298,true,Lingualand,Алматы,KZ,abroad,,,@lingualand,https://lingualand.kz,C,"с 2009 года, все сотрудники аккредитованы ICEF; школы и колледжи Европы/США/Канады",https://lingualand.kz/,wa_link,,,,,yes,4,whale,+77020000694
+77770213539,true,MyChina,Алматы,KZ,abroad,,,@mychina_world,https://mychina.kz,C,2720 студентов отправлены в Китай с 2010,https://mychina.kz/contacts/,wa_link,2,,,,no,4,whale,+77717626008
+77055589219,true,Grand Luxe,Костанай,KZ,abroad,,,@grandluxe.kz,https://grandluxe.kz,C,"Партнёр IDP IELTS, школы в Костанае и Рудном",https://taplink.cc/grandluxe.kz,wa_link,2,,,19000,no,4,whale,
